Kolam,point,path_length,start_end_distance,width,height
1,725,793.7331602364577,0.0,37.0,37.0
2,725,798.472033414429,0.0,37.0,37.0
3,725,831.9541683756227,0.0,37.0,37.0
4,725,831.495177839862,0.0,37.0,37.0
5,725,799.3900144859501,0.0,37.0,37.0
6,725,830.5771967683407,0.0,37.0,37.0
7,725,805.9648498069637,0.0,37.0,37.0
8,725,806.8828308784848,0.0,37.0,37.0
9,725,805.505859271203,0.0,37.0,37.0
10,725,835.7750604820726,0.0,37.0,37.0
11,725,810.7037229849348,0.0,37.0,37.0
12,725,798.9310239501895,0.0,37.0,37.0
13,725,802.6029482362742,0.0,37.0,37.0
14,725,838.5290036966361,0.0,37.0,37.0
15,725,816.3605772344272,0.0,37.0,37.0
16,725,844.1858579461285,0.0,37.0,37.0
17,725,806.4238403427242,0.0,37.0,37.0
18,725,826.7563046618907,0.0,37.0,37.0
19,725,820.1814693408772,0.0,37.0,37.0
20,725,831.0361873041013,0.0,37.0,37.0
21,725,826.2973141261302,0.0,37.0,37.0
22,725,819.1145204489908,0.0,37.0,37.0
23,725,795.5691223795,0.0,37.0,37.0
24,725,824.0023614473273,0.0,37.0,37.0
25,725,827.2152951976514,0.0,37.0,37.0
26,725,816.8195677701877,0.0,37.0,37.0
27,725,822.4764220196802,0.0,37.0,37.0
28,725,810.2447324491741,0.0,37.0,37.0
29,725,805.9648498069636,0.0,37.0,37.0
30,725,848.0067500525786,0.0,37.0,37.0
31,725,812.0806945922166,0.0,37.0,37.0
32,725,834.708111590186,0.0,37.0,37.0
33,725,832.4131589113831,0.0,37.0,37.0
34,725,827.6742857334119,0.0,37.0,37.0
35,725,811.1627135206954,0.0,37.0,37.0
36,725,805.9648498069636,0.0,37.0,37.0
37,725,826.7563046618907,0.0,37.0,37.0
38,725,820.0325015205119,0.0,37.0,37.0
39,725,831.495177839862,0.0,37.0,37.0
40,725,842.3498958030862,0.0,37.0,37.0
41,725,796.0281129152606,0.0,37.0,37.0
42,725,816.8195677701877,0.0,37.0,37.0
43,725,819.7224788051167,0.0,37.0,37.0
44,725,799.39001448595,0.0,37.0,37.0
45,725,814.9836056271454,0.0,37.0,37.0
46,725,828.1332762691725,0.0,37.0,37.0
47,725,812.5396851279772,0.0,37.0,37.0
48,725,815.442596162906,0.0,37.0,37.0
49,725,833.3311399829042,0.0,37.0,37.0
50,725,826.7563046618907,0.0,37.0,37.0
51,725,822.4764220196801,0.0,37.0,37.0
52,725,819.7224788051167,0.0,37.0,37.0
53,725,807.3418214142453,0.0,37.0,37.0
54,725,800.7669860932318,0.0,37.0,37.0
55,725,805.505859271203,0.0,37.0,37.0
56,725,840.0549431242832,0.0,37.0,37.0
57,725,830.5771967683409,0.0,37.0,37.0
58,725,817.2785583059483,0.0,37.0,37.0
59,725,820.6404598766378,0.0,37.0,37.0
60,725,836.2340510178333,0.0,37.0,37.0
61,725,814.5246150913849,0.0,37.0,37.0
62,725,812.0806945922166,0.0,37.0,37.0
63,725,848.0067500525785,0.0,37.0,37.0
64,725,816.8195677701879,0.0,37.0,37.0
65,725,832.4131589113831,0.0,37.0,37.0
66,725,832.8721494471438,0.0,37.0,37.0
